cust_id,custinfo,ccba,cdtx,dp,remit
82595ac69158ae08d34156784bdec0d9e2ca5b242b6d2a8542c040b98feb8bd1,23,0,0,4009,0
b212d14cb35676926682b2cf849e295d948888f556c07e854c4cdad9f32f5084,56,13,8,390,63
e5b0002791c7852644a2730abeaa893cdf14a072ef78120275815edbd596cec0,1,0,0,55,0
74214c478dc6519fbefe4bc31693865bdcd698ab974b6435bb8fa842a3ed4fd8,53,13,24,980,3
0340e7611f0d82c3cb87e6194fa14bb2ccf8afbf1b341860b7e09990369f6466,2,0,0,7,1
83440058abcf5206ec03fd81ee3c0c943a33d1ab455a4631d1c52c80b2b3ad1d,1,13,428,47,2
fe0b3b09a3b8c5435d55a286ecd4fb416e96d3231abdf27c975bf8606a0b559c,142,13,887,1194,144
2bd91e5810e781477888dc1d478fe7eaed138acc84bd5e693ad0c5f5be4c6e4b,1,0,0,11,0
9df84862272aa8b1d36b2c9574aedf16b03c1737e136b923095c373bcce2328d,89,13,0,578,103
870252ba9d2d6cb4433ce4718b80b2e69cf73adcc7e92657e8383e2f281cc13c,46,0,0,952,26
35efdb7f15d0e61d8eabda0871c91edd5602b7620852e286646589bf05fe08de,13,13,35,87,0
8a8a3d19fbce6501b156018ffcf902470d07070bc55f69a3bd0c4c76be6b670a,2,0,0,91,0
a6fc8326d711987f071572d976c0bc8b591eecf1c4e759242d05f5a130b5fd75,4,13,0,16,0
7dc5256ef411c745dc3064da2f231c104ca270f564d3d0d057943f0cdd62ab70,10,0,0,293,0
3513b38b20fd02573807e4a414ed7341e3bd0844fc525d5294adae63e5c61af2,61,0,0,777,69
b85d0a2e03dd24bee012fee7df3e88476b6ed3aadfde1a73618551723813d18a,12,0,0,547,0
96d70b798f211393cfbcb83a8acd19f3e8c9c5c205960a3a00bfe685ed6e7ab2,1,0,0,131,0
4d518f1d8149b57c5d56855d1bac3c0462f4f090a7b4b6fb7951afdf5816c921,1,0,0,30,1
8cc21d9d4e328562fb96d10b2d698714c95a48662b379d8aad7ba5290d71a5a0,38,13,254,1333,0
ff483c74ef2977bfcf04be0a79363af72d1812aac9ce1fcdf671b4433218f6ad,33,13,196,744,40
7629f010080267f680a4ca9c6cac71c4d4d86933dcc7ed2f3625fde2c161e9de,48,13,86,864,56
51d9f1c083dfbba0c459d86f1aa8a2ae6c83f42e9b2a7a44955999a373160b23,89,13,60,616,107
33ff49ea8a07c6d1b7cc203dcc3638ebde62dfb960a1697c8e5a55dffefc1cb6,44,5,0,341,58
10a082d613a789acd3abc2648c84585e92e93d7fa20591c50a33899a9c03fe61,103,13,59,976,112
d253f77ce816406296362e15aa64888080acc551e9c596098d9c78ffe52956a9,38,13,1,392,0
26fc4ef92d434a5ff617236ded40fa5725432dc446efcc7915dd274606d2d856,1,13,287,15,0
d6d7cc8f5036ae0121dbeacf67b216f757b2ab86fb93184eec6f8261c092270a,1,13,10,56,0
ac8a804f8a4be16875f59b941a5cca38a6a92313538c82898fab347db054e286,5,13,58,701,0
d1f77182e056ec6c8f8694cfd71da81f378aa50d1976c0c15552665df04af222,1,0,0,2,0
605be1af0245f872d8adc5b5e23cafb27a4de11247dd07d90ea0b79f1da191de,32,9,116,1109,0
c1fd75c8241202e9fbe747d44851dd5ba082b5e368b1b3b5f62a13f96e460b27,25,13,146,1075,46
a62d70911e788d5fe609d2a7bb3ab800cb3c1ab4e923658fe066a9b3f225410a,56,13,44,621,80
3182ab9ecb0e19b96a0a68723490c01cc46dbc1e8d8a31801c9a010b436eee89,45,13,4668,429,0
2dc131115c513102b4c5c2facb90e9e21bf6e1bb946cfc0f8e7eca0573654742,3,13,109,4858,0
102e3ba50d2b335b71e881df9ef5fea70124a240e8b15c5a4c5c3eabac4605d1,26,13,160,1663,0
54120a833a4e411f5e15fd3fbdf32e9cd66e000cd6f5ba24bc910ce5e3d46275,97,0,0,977,121
7844d12452c6319c9a1d6cee9d4c173d4a2b151a5c632c15b73196b84be493c9,45,13,304,943,0
158f652568e23e7e4a8e1c7cbf8c8987d53f23049a1e076f0dc30a993e979382,8,0,0,200,0
9902a46bcfe42b58e06b209a02d1131e47966a60187f787892eaf38116f70c8b,1,13,20,147,0
63e2e1fa88378fa90d85547fe108eeee5045ba3252911f145a351b7b7661e3ea,6,13,191,349,47
d11b9cd483cf1fe9d2c26de44af17d86707e1b9159c2b2a5235ef01aa8aa9376,4,0,0,338,0
bfdb5c0d7da77d3c0d065559d0af7aada44bf33a176681fc19a12fbaa3507f0b,9,0,0,254,0
405115a569295213328a887110c5c5b705069402361a3057ba68f7159c097861,16,0,0,155,22
609ca842d3c873f3606404f8741eec8d7fbdfeef00e80bd64e92f85132352eef,2,13,19,67,0
9586b80d3ad1d74c0a1efe792cae2ecd073243fb01ed33fa1f70867748596bd5,11,13,0,474,0
8ad6c338a1078ea5139423c7243914c0201f4afa21def82600d46594bff8e852,38,13,2677,89,0
2cbae2a984f9c7a8749097027ac7a00052bfee7536a287071fb3ea50b351f323,9,13,0,149,7
da500130fbe4a29397af9a08e1dfdc2b646309a669d1b2796b2f28e5931b38d9,1,13,110,51,0
05d16120e622640438421a39564db6eedc105f0e343435ac445f72ddfb6c386b,1,0,0,36,0
1b455871464af23a6e0d85f1da41adbba10f5913cdda5572ca4af9a43ceb4d5a,1,2,0,7,0
40fa92acb89d1ebb319f0f200d31a5fcbdfcbd8ad432d732a880545a69f2c5e8,17,0,0,333,26
85560737ffda7254ba16b71e4c5b519b85a51942ab02c69ca358f1d4d8f83acc,67,0,0,604,66
4dfeca8a959845f1ed0a40340b8c53525bb477c5c37a7068d6383515d211c881,58,0,0,482,65
f284d9a1f047636cf371af0d1e2cc1a8583c413aca0e347538758b914e00eeec,5,13,0,54,0
5c8203758d604e065e40f5192d41077acdb92b1121bd5358436411be10072351,52,0,0,1344,61
1efec00739f069a9dd3bb1ca0ae9e1262e62548f190b20babf27016811ae4e04,1,2,0,59,0
6b5ae2c6990dfa9281ea5b8f437ed6bc868cc5cac182fb33c467e615dffe6926,7,13,733,178,0
c6def618ad861703c025be4f41bdf7569310228ae93aeffc73088c520c79558d,34,13,209,339,47
